ID;Titre;Style;Artiste;Année;Lieu principal;Echelle;Code INSEE;Code département;Extrait des paroles;Lien;Longitude;Lattitude
92-179;Rendez-vous à Paris;chanson, french jazz;Maurice Chevalier;1954;Marnes-la-Coquette;Commune;92047;92;je vous dis : rendez-vous à paris tout près, à marnes-la-coquette dans un jardin touchant paris habite un français qui;https://genius.com/Maurice-chevalier-rendez-vous-a-paris-lyrics;2,1689;48,8286
92-180;Aubameyang;french rap, french r&b;La Fouine;2017;Meudon;Commune;92048;92;sur le sol glacé, quand tu faisais du cheval à meudon-la-forêt, renoi prends pas la fuite quand y'a échauffourée, tu;https://genius.com/La-fouine-aubameyang-lyrics;2,2288;48,8028
92-182;La java de Broadway;variété française, chanson, french pop;Michel Sardou;1977;Meudon;Commune;92048;92;dancing the java saturday on broadway it swings like in meudon we’re tired and we fly no need for beaujolais;https://genius.com/Michel-sardou-la-java-de-broadway-lyrics;2,2288;48,8028
92-183;Diane de Montrouge;variété française, chanson, french pop, french house;Nino Ferrer;;Montrouge;Commune;92049;92;Diane de Montrouge, sur sa mobylette orange;https://genius.com/Nino-ferrer-diane-de-montrouge-lyrics;2,3163;48,8159
92-184;De Bruxelles à Nanterre;french rap;34A;2019;Nanterre;Commune;92050;92;34A, Soo du boulevard, on contrôle d’Nanterre à BXL;https://genius.com/34a-de-bruxelles-a-nanterre-lyrics;2,2018;48,8974
92-185;Nanterre;french rap, pop urbaine;BRESOM GANG;2017;Nanterre;Commune;92050;92;Eh ! c'est Nanterre ! Qui est prêt pour la guerre ?;https://genius.com/Bresom-gang-nanterre-lyrics;2,2018;48,8974
92-186;De Barfleur à Nanterre;french rap;M le Maudit;2012;Nanterre;Commune;92050;92;Les faux mcs: 24 au compteur de Barfleur à Nanterre;https://genius.com/M-le-maudit-de-barfleur-a-nanterre-lyrics;2,2018;48,8974
92-187;Auteuil, Neuilly, Passy;chanson;Les inconnus;1991;Neuilly-sur-Seine;Commune;92051;92;"Hé mec, je me présente : je m'appelle Charles-Henri Du Pré
J'habite à Neuilly dans un quartier mais alors, paumé !";https://genius.com/Les-inconnus-auteuil-neuilly-passy-lyrics;2,2651;48,8862
92-188;Neuilly Sur Seine;rap ivoire, french rap, hyperpop;Lil Euphon;2022;Neuilly-sur-Seine;Commune;92051;92;designer sur moi j'suis en all black ils viennent de neuilly-sur-seine dans leur texte ils se prennent pour kodak elle;https://genius.com/Lil-euphon-neuilly-sur-seine-lyrics;2,2651;48,8862
92-189;Délit;french rap;Nono La Grinta;2023;Neuilly-sur-Seine;Commune;92051;92;pas la sorcellerie (ah non), j'ai encore une adresse à neuilly-sur-seine (ah nan) j'crois qu'j'vais m'arrêter là, l'instru', j'l'ai fait;https://genius.com/Nono-la-grinta-delit-lyrics;2,2651;48,8862
92-190;Palpite sous l’œil;french rap;B.B. Jacques;2021;Puteaux;Commune;92062;92;du manque de panache j’finis mon texte sur l'pont de puteaux fuck off aujourd’hui, il n’y a pas de plus;https://genius.com/Bb-jacques-palpite-sous-lil-lyrics;2,2384;48,8824
92-191;Chanson des commères;celtic, celtic rock, chanson, variété française;Tri Yann;1974;Rueil-Malmaison;Commune;92063;92;honneur et je vous dis ils ont du cœur a rueil-malmaison, il y a des bretons et pendant ce temps-là;https://genius.com/Tri-yann-chanson-des-commeres-lyrics;2,1806;48,8717
92-192;Mula;french rap, french r&b;GLGV;2015;Rueil-Malmaison;Commune;92063;92;glgv vas-y monte le son ça débarque tout droit de rueil-malmaison on fout le bordel puis tu payes la cotion;https://genius.com/Glgv-mula-lyrics;2,1806;48,8717
92-193;Le mystérieux CHOCOFLAN;soca;Grandpamini;2016;Rueil-Malmaison;Commune;92063;92;cho coflan cho cho cho coflan comme un graffiti à rueil-malmaison tague ton moule avec un spray à cuisson fait;https://genius.com/Grandpamini-le-mysterieux-chocoflan-lyrics;2,1806;48,8717
92-194;La Celle Saint Cloud;french rap;Georgio;2015;Saint-Cloud;Commune;92064;92;écrit pour sa grand-mère maternelle qui vit à la celle saint-cloud , ville des yvelines, située à l'ouest de paris.;https://genius.com/Georgio-la-celle-saint-cloud-lyrics;2,2032;48,844
92-195;saintcloud;variété française, chanson, french pop, french house;GAL (FRA);2024;Saint-Cloud;Commune;92064;92;ouais le seum est parti d'un coup, quand j'ai quitté saint-cloud le seum est parti d'un coup, quand j'ai quitté;https://genius.com/Gal-fra-saintcloud-lyrics;2,2032;48,844
92-196;Une vie;french rap, french r&b, pop urbaine;Booba;2013;Sèvres;Commune;92072;92;la fenêtre mon background est malhonnête, hauts-de-seine ou ja connèt' pont-de-sèvres, les baconnets, i-z-i sur la comète mon reufré sur;https://genius.com/Booba-une-vie-lyrics;2,2056;48,8223
92-197;SUR LA ROUTE DE SURESNES - PT. 1;;MC DONASSIETTE;2020;Suresnes;Commune;92073;92;Cette fille je l'ai rencontrée, sur la route de Suresnes !;https://genius.com/Mc-donassiette-sur-la-route-de-suresnes-pt-1-lyrics;2,2183;48,871
92-198;La Porte de Vanves;variété française, chanson, french pop, french house;Michel Jonasz;;Vanves;Commune;92075;92;C'ui qu'a changé la Porte de Vanves sans nous prév'nir;https://genius.com/Michel-jonasz-la-porte-de-vanves-lyrics;2,2869;48,8214
92-199;American Express;uk drill, drill;Risky;2018;Vaucresson;Commune;92076;92;remballe ton hlm à la montagne des glaises maison à vaucresson j'paye avec mon amex rien à foutre de tes;https://genius.com/Risky-american-express-lyrics;2,1628;48,8377
92-200;André;french rap;Guizmo;2014;Villeneuve-la-Garenne;Commune;92078;92;la gueule de l'emploi pour ça qu'on est aux assedics villeneuve-la-garenne, putain j'y ai laissé des frères j'en ai des;https://genius.com/Guizmo-andre-lyrics;2,3231;48,9354
94-003;Erik Satie;;Philippe Chatel;1979;Arcueil;Commune;94110;94;"« Il s’appelait Erik Satie
Je l’aurais voulu pour ami
Et m’appeler Ravel
Pour être près de lui
On aurait fait des symphonies
Qui ressembleraient à des fruits
Dans la maison d’Arcueil
J’aurais passé ma vie
A écouter Satie »";https://www.paroles.net/philippe-chatel/paroles-erik-satie;2.3338973095888083;48.80439122663173
94-004;Africain à Paris;;Tiken Jah Fakoly;2004;Cachan;Commune;94016;94;"« Maman, je pense à toi, je t’écris
D’un trois étoiles à Cachan
Tu vois, faut pas que tu trembles ici
J’ai un toit et un peu d’argent »";https://www.paroles.cc/chanson,africain-a-paris,32135;2.3340758;48.7945413
94-005;Sur le pont de Charenton;Chançon française;Henri Salvador;2007;Charenton;Commune;94220;94;"« Sur le pont d’ Charenton
On y danse on y danse
Sur le pont d’ Charenton
On y danse tous en rond »


";;2.419744;48.817124
94-006;Au bar est barré papa;Musiques du monde / chanson;Bratsch;2007;Champigny-sur-Marne;Commune;94017;94;"« Au bar est barré papa 
 On boira plus de rhum 
 On jouera plus de java 
 Avec les copains du bas »";https://genius.com/Bratsch-au-bar-est-barre-papa-lyrics;2,515893;48,81722
94-007;Quartier nord;Rap / hip-hop;MC Solaar;1994;Villeneuve-Saint-Georges;Commune;94078;94;"« Quartier Nord, c’est la banlieue sud 
 Où les mômes jouent à la guerre 
 Où la rime sent la sueur 
 Et le béton la misère »";https://genius.com/Mc-solaar-quartier-nord-lyrics;2,449234;48,73244
94-008;Y’a cinquante gosses dans l’escalier;Chanson réaliste;Pierre Perret;1981;Créteil;Commune;94028;94;"« Y’a cinquante gosses dans l’escalier 
 Y’a cinquante mères pour les calmer 
 Y’a des rires et des cris mêlés 
 Dans la tour de Créteil »";https://www.paroles.net/pierre-perret/paroles-y-a-cinquante-gosses-dans-l-escalier;2,465768;48,78079
94-009;Porte-parole;Rap / hip-hop;Pejmaxx;2008;Créteil;Commune;94028;94;"« J’suis pas un prophète, juste un porte-parole 
 De ma ville et de ses mômes 
 Créteil m’a forgé l’âme 
 Entre le bitume et l’école »";https://genius.com/Pejmaxx-porte-parole-lyrics;2,465768;48,78079
94-010;Le grand Grégory;Chanson swing / jazz manouche;Sanseverino;2009;Gentilly;Commune;94037;94;"« Le grand Grégory faisait l’malin 
 Avec sa guitare et son air malin 
 À Gentilly, sous la pluie fine 
 Il chantait jusqu’au matin »";https://www.paroles.net/sanseverino/paroles-le-grand-gregory;2,342458;48,81093
94-011;Le blues de la banlieue sud;Blues / chanson;Paul Braffort;1958;L’Haÿ-les-Roses;Commune;94038;94;"« J’ai le blues de la banlieue sud 
 Où les roses perdent leur nom 
 Et les pavillons s’inclinent 
 Sous le vent des avions »";https://data.bnf.fr/fr/14793345/paul_braffort/;2,337011;48,78003
94-012;Le p’tit Ivry;Chanson poétique;Allain Leprest;1992;Ivry-sur-Seine;Commune;94041;94;"« J’suis né dans un p’tit Ivry 
 Entre la Seine et la pluie 
 Les pavés m’ont appris la vie 
 Et la vie m’a pris mes envies »";https://www.paroles.net/allain-leprest/paroles-le-ptit-ivry;2,387338;48,81205
94-013;Les loups sont entrés dans Paris;Chanson à texte;Serge Reggiani;1967;Ivry-sur-Seine;Commune;94041;94;"« Les loups sont entrés dans Paris 
 Pendant que les Parisiens dormaient 
 Et les enfants ont eu si peur 
 Qu’ils se sont mis à prier »";https://www.paroles.net/serge-reggiani/paroles-les-loups-sont-entres-dans-paris;2,387338;48,81205
94-014;Un clair de lune à Maubeuge;Variété / humour;Bourvil;1962;Le Kremlin-Bicêtre;Commune;94043;94;"« Un clair de lune à Maubeuge 
 Ça faisait rêver les filles 
 Un clair de lune à Maubeuge 
 C’est le plus beau des refrains »";https://www.paroles.net/bourvil/paroles-un-clair-de-lune-a-maubeuge;2,361693;48,81376
94-015;Bouge de là;Rap / hip-hop;MC Solaar;1990;Maisons-Alfort;Commune;94046;94;"« Bouge de là, bouge de là 
 T’étais parti pour me plumer 
 Mais j’me suis pas laissé faire 
 Alors bouge de là »";https://genius.com/Mc-solaar-bouge-de-la-lyrics;2,439854;48,80248
94-016;Le petit vin blanc;Chanson populaire;Jean Dréjac (auteur);1943;Nogent-sur-Marne;Commune;94052;94;"« Le petit vin blanc 
 Quand il est tiré faut le boire 
 Il fait tourner les têtes 
 Et puis oublier les histoires »";https://www.paroles.net/charles-trenet/paroles-le-petit-vin-blanc;2,482594;48,8332
94-017;Orly City Bronx;Rap;Idéal J;1995;Orly;Commune;94054;94;"« Orly City Bronx, c’est notre terrain 
 Là où les frères ont grandi 
 Sous les tours et les avions 
 Entre galère et survie »";https://genius.com/Ideal-j-orly-city-bronx-lyrics;2,392533;48,74704
